Ticket,Open,Type,Volume,Symbol,Price,SL,TP,Close,Price,Swap,Commissions,Profit,Pips,"Trade duration in seconds"
111577995,"2026-01-14 18:59:57",buy,0.01,ETHUSD,3368.68000000,0,0,"2026-01-20 10:36:53",3088.75000000,-1.64,-0.21,-27.99000000,-279.9,488216
111491200,"2026-01-14 16:59:54",buy,0.01,ETHUSD,3347.11000000,0,0,"2026-01-20 10:36:53",3088.75000000,-1.64,-0.21,-25.84000000,-258.4,495419
111194639,"2026-01-14 03:59:53",buy,0.01,ETHUSD,3335.78000000,0,0,"2026-01-20 10:36:53",3088.75000000,-1.64,-0.21,-24.70000000,-247,542220
111165108,"2026-01-14 01:59:54",buy,0.01,ETHUSD,3325.34000000,0,0,"2026-01-20 10:36:53",3088.75000000,-1.64,-0.21,-23.66000000,-236.6,549419
110889513,"2026-01-13 15:59:54",buy,0.01,ETHUSD,3142.26000000,0,0,"2026-01-20 10:36:53",3088.75000000,-1.91,-0.2,-5.35000000,-53.5,585419
111126820,"2026-01-13 21:59:54",buy,0.01,ETHUSD,3214.30000000,0,0,"2026-01-20 10:36:53",3088.75000000,-1.91,-0.2,-12.56000000,-125.6,563819
111056655,"2026-01-13 18:59:53",buy,0.01,ETHUSD,3179.98000000,0,0,"2026-01-20 10:36:53",3088.75000000,-1.91,-0.2,-9.12000000,-91.2,574620
111224776,"2026-01-14 06:59:50",buy,0.01,BTCUSD,95192.74000000,0,0,"2026-01-20 10:36:53",90695.20000000,-4.77,-0.6,-44.98000000,-4497.5,531423
111145716,"2026-01-13 22:59:52",buy,0.01,BTCUSD,94358.28000000,0,0,"2026-01-20 10:36:53",90695.20000000,-5.55,-0.6,-36.63000000,-3663.1,560221
110829631,"2026-01-13 14:59:50",buy,0.01,BTCUSD,92074.15000000,0,0,"2026-01-20 10:36:53",90695.20000000,-5.55,-0.59,-13.79000000,-1379,589023
110549707,"2026-01-12 19:59:50",buy,0.01,BTCUSD,91480.06000000,0,0,"2026-01-20 10:36:53",90695.20000000,-6.31,-0.59,-7.85000000,-784.9,657423
111145992,"2026-01-13 23:00:02",buy,0.01,BNBUSD,943.96000000,0,0,"2026-01-20 10:36:53",911.64000000,-5.46,-0.61,-32.32000000,-32.3,560211
110067586,"2026-01-10 03:59:57",buy,0.01,BNBUSD,899.77000000,0,0,"2026-01-20 10:36:53",911.64000000,-6.21,-0.59,11.87000000,11.9,887816
110786271,"2026-01-13 12:59:57",buy,0.01,BNBUSD,909.57000000,0,0,"2026-01-20 10:36:53",911.64000000,-5.46,-0.6,2.07000000,2.1,596216
111205769,"2026-01-14 04:59:55",buy,0.01,BNBUSD,949.01000000,0,0,"2026-01-14 15:59:58",932.98000000,0,-0.61,-16.03000000,-16,39603
110600601,"2026-01-13 00:59:53",sell,0.01,ETHUSD,3093.82000000,0,0,"2026-01-13 08:59:55",3133.39000000,0,-0.2,-3.96000000,-39.6,28802
110197030,"2026-01-12 05:59:52",buy,0.01,ETHUSD,3151.48000000,0,0,"2026-01-12 13:59:53",3114.26000000,0,-0.2,-3.72000000,-37.2,28801
110197016,"2026-01-12 05:59:49",buy,0.01,BTCUSD,91763.19000000,0,0,"2026-01-12 12:59:50",90382.49000000,0,-0.59,-13.81000000,-1380.7,25201
110073603,"2026-01-10 20:00:02",buy,0.01,BNBUSD,908.95000000,0,0,"2026-01-12 11:00:22",903.63000000,0,-0.59,-5.32000000,-5.3,140420
110078562,"2026-01-11 08:59:56",buy,0.01,BNBUSD,914.35000000,0,0,"2026-01-11 20:59:57",906.75000000,0,-0.59,-7.60000000,-7.6,43201
110065285,"2026-01-10 00:59:54",sell,0.01,ETHUSD,3084.52000000,0,0,"2026-01-11 20:59:53",3128.80000000,0,-0.2,-4.43000000,-44.3,158399
109475266,"2026-01-08 16:59:56",sell,0.01,ETHUSD,3075.49000000,0,0,"2026-01-11 14:59:55",3112.83000000,-1.03,-0.2,-3.73000000,-37.3,251999
110065284,"2026-01-10 00:59:50",sell,0.01,BTCUSD,90582.44000000,0,0,"2026-01-11 08:59:49",90697.61000000,0,-0.58,-1.15000000,-115.2,115199
109792973,"2026-01-09 13:59:50",sell,0.01,BTCUSD,90405.46000000,0,0,"2026-01-09 18:59:49",91584.59000000,0,-0.59,-11.79000000,-1179.1,17999
109301460,"2026-01-08 10:59:49",sell,0.01,BTCUSD,90179.35000000,0,0,"2026-01-08 22:59:51",90881.15000000,0,-0.59,-7.02000000,-701.8,43202
107282400,"2025-12-31 14:59:54",buy,0.01,ETHUSD,2986.42000000,0,0,"2026-01-08 10:59:53",3114.70000000,-2.08,-0.2,12.83000000,128.3,676799
107071950,"2025-12-30 19:00:01",buy,0.01,BNBUSD,861.10000000,0,0,"2026-01-08 09:59:56",885.08000000,-6.64,-0.57,23.98000000,24,745195
107412792,"2026-01-01 21:59:53",buy,0.01,ETHUSD,2993.45000000,0,0,"2026-01-08 05:59:53",3141.05000000,-1.83,-0.2,14.76000000,147.6,547200
107529962,"2026-01-02 11:59:57",buy,0.01,BNBUSD,871.68000000,0,0,"2026-01-08 00:59:58",898.40000000,-4.48,-0.57,26.72000000,26.7,478801
107454508,"2026-01-02 04:59:53",buy,0.01,ETHUSD,3001.17000000,0,0,"2026-01-08 00:59:55",3151.40000000,-1.58,-0.2,15.02000000,150.2,504002
107477828,"2026-01-02 07:59:49",buy,0.01,BTCUSD,88720.27000000,0,0,"2026-01-07 22:59:52",91011.19000000,-3.81,-0.59,22.91000000,2290.9,486003
107517141,"2026-01-02 10:59:52",buy,0.01,ETHUSD,3031.21000000,0,0,"2026-01-07 20:59:57",3145.22000000,-1.32,-0.2,11.40000000,114,468005
107788783,"2026-01-04 04:59:57",buy,0.01,BNBUSD,881.32000000,0,0,"2026-01-07 18:59:56",899.09000000,-1.52,-0.58,17.77000000,17.8,309599
107570711,"2026-01-02 14:59:52",buy,0.01,ETHUSD,3047.75000000,0,0,"2026-01-07 18:59:52",3155.47000000,-1.32,-0.2,10.77000000,107.7,446400
107753415,"2026-01-02 20:59:58",buy,0.01,ETHUSD,3109.80000000,0,0,"2026-01-07 15:59:53",3210.39000000,-1.32,-0.2,10.06000000,100.6,413995
107555862,"2026-01-02 13:59:49",buy,0.01,BTCUSD,89458.79000000,0,0,"2026-01-07 15:59:49",91993.15000000,-3.81,-0.59,25.34000000,2534.4,439200
108644960,"2026-01-06 20:59:54",buy,0.01,ETHUSD,3218.48000000,0,0,"2026-01-07 12:59:56",3216.53000000,-0.27,-0.2,-0.20000000,-2,57602
107735700,"2026-01-02 19:59:50",buy,0.01,BTCUSD,90299.35000000,0,0,"2026-01-07 10:59:51",92679.81000000,-3.81,-0.59,23.80000000,2380.5,399601
107932732,"2026-01-05 11:00:03",buy,0.01,BNBUSD,898.91000000,0,0,"2026-01-06 20:59:58",901.34000000,-0.76,-0.58,2.43000000,2.4,122395
107788781,"2026-01-04 04:59:49",buy,0.01,BTCUSD,91099.94000000,0,0,"2026-01-06 20:59:51",92013.69000000,-0.78,-0.6,9.14000000,913.8,230402
107788782,"2026-01-04 04:59:53",buy,0.01,ETHUSD,3139.88000000,0,0,"2026-01-05 10:59:57",3161.94000000,0,-0.2,2.21000000,22.1,108004
107772884,"2026-01-03 01:59:52",buy,0.01,ETHUSD,3124.17000000,0,0,"2026-01-03 13:59:52",3096.95000000,0,-0.2,-2.72000000,-27.2,43200
107775405,"2026-01-03 07:59:52",buy,0.01,ETHUSD,3111.29000000,0,0,"2026-01-03 13:59:52",3096.93000000,0,-0.2,-1.44000000,-14.4,21600
107735780,"2026-01-02 19:59:58",buy,0.01,BNBUSD,887.57000000,0,0,"2026-01-03 12:59:55",873.98000000,-2.21,-0.57,-13.59000000,-13.6,61197
107406880,"2026-01-01 09:59:49",sell,0.01,BTCUSD,87603.23000000,0,0,"2026-01-02 00:59:50",88603.24000000,-0.74,-0.57,-10.00000000,-1000,54001
107213775,"2025-12-31 10:00:02",buy,0.01,BNBUSD,868.48000000,0,0,"2026-01-01 15:00:03",859.37000000,-0.72,-0.56,-9.11000000,-9.1,104401
